LAI,CAC,Sensible heat flux (kJ/hr),Latent heat flux (kg/hr)
0.003451,0.001337,-0.059990,0.000077
0.003462,0.001341,-0.060176,0.000077
0.003473,0.001345,-0.060364,0.000078
0.003483,0.001350,-0.060551,0.000078
0.003494,0.001354,-0.060739,0.000078
0.003505,0.001358,-0.060928,0.000078
0.003516,0.001362,-0.061118,0.000079
0.003527,0.001366,-0.061307,0.000079
0.003538,0.001371,-0.061499,0.000079
0.003549,0.001375,-0.061690,0.000079
0.003560,0.001379,-0.061881,0.000080
0.003571,0.001383,-0.062072,0.000080
0.003582,0.001388,-0.062265,0.000080
0.003593,0.001392,-0.062458,0.000080
0.003604,0.001396,-0.062653,0.000081
0.003615,0.001401,-0.062848,0.000081
0.003627,0.001405,-0.063042,0.000081
0.003638,0.001409,-0.063237,0.000081
0.003649,0.001414,-0.063433,0.000082
0.003661,0.001418,-0.063630,0.000082
0.003672,0.001422,-0.063828,0.000082
0.003683,0.001427,-0.064026,0.000082
0.003695,0.001431,-0.064224,0.000083
0.003706,0.001436,-0.064422,0.000083
0.003718,0.001440,-0.064622,0.000083
0.003729,0.001445,-0.064822,0.000083
0.003741,0.001449,-0.065022,0.000084
0.003752,0.001454,-0.065224,0.000084
0.003764,0.001458,-0.065425,0.000084
0.003776,0.001463,-0.065629,0.000084
0.003787,0.001467,-0.065830,0.000085
0.003799,0.001472,-0.066034,0.000085
0.003811,0.001476,-0.066239,0.000085
0.003822,0.001481,-0.066444,0.000085
0.003834,0.001485,-0.066649,0.000086
0.003846,0.001490,-0.066854,0.000086
0.003858,0.001494,-0.067061,0.000086
0.003870,0.001499,-0.067268,0.000087
0.003882,0.001504,-0.067475,0.000087
0.003894,0.001508,-0.067683,0.000087
0.003906,0.001513,-0.067892,0.000087
0.003918,0.001518,-0.068102,0.000088
0.003930,0.001522,-0.068311,0.000088
0.003942,0.001527,-0.068523,0.000088
0.003954,0.001532,-0.068733,0.000088
0.003966,0.001537,-0.068945,0.000089
0.003979,0.001541,-0.069158,0.000089
0.003991,0.001546,-0.069371,0.000089
0.004003,0.001551,-0.069583,0.000089
0.004015,0.001556,-0.069799,0.000090
0.004028,0.001560,-0.070013,0.000090
0.004040,0.001565,-0.070228,0.000090
0.004052,0.001570,-0.070444,0.000091
0.004065,0.001575,-0.070661,0.000091
0.004078,0.001580,-0.070878,0.000091
0.004090,0.001584,-0.071096,0.000091
0.004103,0.001589,-0.071315,0.000092
0.004115,0.001594,-0.071534,0.000092
0.004128,0.001599,-0.071753,0.000092
0.004141,0.001604,-0.071974,0.000093
0.004153,0.001609,-0.072194,0.000093
0.004166,0.001614,-0.072417,0.000093
0.004179,0.001619,-0.072638,0.000093
0.004192,0.001624,-0.072862,0.000094
0.004204,0.001629,-0.073084,0.000094
0.004217,0.001634,-0.073309,0.000094
0.004230,0.001639,-0.073533,0.000095
0.004243,0.001644,-0.073759,0.000095
0.004256,0.001649,-0.073985,0.000095
0.004269,0.001654,-0.074211,0.000095
0.004282,0.001659,-0.074438,0.000096
0.004295,0.001664,-0.074666,0.000096
0.004308,0.001669,-0.074894,0.000096
0.004322,0.001674,-0.075123,0.000097
0.004335,0.001679,-0.075353,0.000097
0.004348,0.001685,-0.075584,0.000097
0.004361,0.001690,-0.075815,0.000098
0.004375,0.001695,-0.076046,0.000098
0.004388,0.001700,-0.076279,0.000098
0.004402,0.001705,-0.076512,0.000098
0.004415,0.001710,-0.076745,0.000099
0.004429,0.001716,-0.076980,0.000099
0.004442,0.001721,-0.077214,0.000099
0.004456,0.001726,-0.077449,0.000100
0.004469,0.001731,-0.077686,0.000100
0.004483,0.001737,-0.077922,0.000100
0.004496,0.001742,-0.078160,0.000101
0.004510,0.001747,-0.078398,0.000101
0.004524,0.001752,-0.078638,0.000101
0.004538,0.001758,-0.078876,0.000101
0.004551,0.001763,-0.079116,0.000102
0.004565,0.001769,-0.079358,0.000102
0.004579,0.001774,-0.079599,0.000102
0.004593,0.001779,-0.079841,0.000103
0.004607,0.001785,-0.080084,0.000103
0.004621,0.001790,-0.080328,0.000103
0.004635,0.001796,-0.080571,0.000104
0.004649,0.001801,-0.080816,0.000104
0.004663,0.001807,-0.081061,0.000104
0.004678,0.001812,-0.081308,0.000105
0.004692,0.001818,-0.081555,0.000105
0.004706,0.001823,-0.081804,0.000105
0.004720,0.001829,-0.082050,0.000106
0.004735,0.001834,-0.082301,0.000106
0.004749,0.001840,-0.082549,0.000106
0.004763,0.001845,-0.082800,0.000106
0.004778,0.001851,-0.083050,0.000107
0.004792,0.001857,-0.083302,0.000107
0.004807,0.001862,-0.083554,0.000107
